Art name,Size,Medium,Year,Hours,Cost,Image,Description
Portrait,50x50,Acrylic on canvas,2022,,"1,200",,
Myeongdong,30x30,Acrylic and pencil on paper,2022,,420,,
Nowon-Gu,45.5x53,Acrylic on canvas,2023,,1200,,The place where this journey begin. The home place of experiences that equally inspired and shocked. The first of many considerations of beauty and change.
Nami Island,45.5x53,Acrylic on canvas,2023,,1200,,"Namisan is romantic, energetic, and youthful. While its cultural and historical roots paint a backdrop to the scene, Nami island has been transformed into a tourist destination celebrated for its art, media and romantic appeal. This piece captures the fluidity, energy, and artistic spirit of the island, reflecting the reality of lived moments and curated beauty."
Dobongsan,72.5 x 60.5,Acrylic on canvas,2023,,1800,,
Namhansanseong,45.5x53,Acrylic on canvas,2024,,Sold,,
Jeju 24,72.5 x 90.5,Acrylic on canvas,2024,37,8000,,Inspired by the vibrant and delicate Joseon Dynasty temples - designed to be integrated into the natural surroundings and now framed by the perfectly constructed skyscrapers of modern times - this piece represents Korea’s ongoing fusion of tradition and contemporary.
Jeju 24 EP i,53x45.5,Acrylic on canvas,2024,,310,,
Jeju 24 EP ii,24x33.5,Acrylic on canvas,2024,,190,,
Jeju 25,45.5x53,Acrylic on canvas,2025,,1200,,"Temples once so grounded and balanced within natural landscapes of South Korea now recomposed by rigid, rectangular shapes. This piece explores the point when interaction and fusion shift into obstruction and constraint."
,,,,,,,
Phnom Aoral,91 x122,Acrylic on canvas,2025,,4400,,"This piece uses geometric shapes to frame and enhance the natural scene. The shapes are carefully balanced to coexist with the landscape, to create structure and modernization without overpowering the organic qualities of the environment."
Phnom Aoral EP,41x33,Acrylic on canvas,2025,,190,,The renewed paint in this piece is used to explore a similar balance and coexistence of organic and carefully placed strokes.
Russian Market 25,40x40,Acrylic on canvas,2025,,1800,,"Russian market is a vibrant, traditional marketplace where local daily life and tourism intersect. The opaque circle isolates a moment of calmness above the chaotic energy of the busy streets, while the surrounding geometric forms create order and structure. This piece was designed to invite reflection on whether these spaces should be reorganized to reduce the clutter and chaos, or preserved in their layered complexity and lively beauty."
Russian Market 25 EP,15.2x20.3,Acrylic on canvas,2025,,90,,This excess paint artwork revisits a captured calmness among what is known to be dynamic and energizing.
Daun Penh,50x60,Acrylic on canvas,2025,,1400,,"Taking place in the old neighborhood of Daun Penh, this piece reflects the charm and character of the worn streets. Rustic textures and weathered surfaces are juxtaposed with delicate, light shapes creating a contrast between polished order and textured imperfection. This is meant to invite a reflection of how old and new, fragile and enduring, can coexist and enrich one another."
Daun Penh EP,33x41,Acrylic on canvas,2025,,1200,,"The excess paint on the palette allowed for a light and textured artwork that explores a layering of imperfect and polished patterns. This piece creates a coexistence between organic, weathered patterns and crisp geometric shapes."
Independence Monument,60x50,Acrylic on canvas,2025,,1400,,"This piece reflects Cambodian identity through familiar symbols. While the recognizable elements take center stage, the modern, non-Khmer skyline sits behind, big and bulky, impossible to ignore, setting a contemporary backdrop to the enduring staples of Khmer culture."
Independence Monument EP,30 diameter,Acrylic on canvas,2025,,Sold,,The excess paint in this piece was left mostly as is to enhance its connection to the otherwise unique piece.
Koh Rong,50x60,Acrylic on canvas,2025,,1400,,"Koh Rong is a quiet, calming place. It has the rustic charm of a beach town, removed from the busyness of modern city life. Yet parts of the beach town have evolved in other ways. This piece evokes the spirit of the community that flows through Koh Rong, while the shapes suggest spontaneity, memories, and the liberating energy of travelers and their celebrations. This painting explores the balance between the calm of the coastal beach and the liberating energy of travelers, carefully navigating the edge before it tips into the overwhelm of holiday exuberance."
Koh Rong EP i,30.5x40.6,Acrylic on canvas,2025,,210,,
Koh Rong EP ii,30 diameter,Acrylic on panel,2025,,190,,"The left over paint from Koh Rong went into this continuation of flow, free spirit and spontaneity."
Russian Market 26,,,2026,,1500,,"This rendition of the Russian Market scene captures the energy and rhythm that takes place below the vibrant roof tops. This piece emphasizes movement, liveliness and the flow of daily life in Cambodia. The translucent frame and the textured, stylized imagery allows the scene to pulse with activity and vibrancy,"
Russian Market 26 EP ,,Acrylic on Canvas,2026,,190,,"The excess paint from the palette found a new purpose in this piece, maintaining the layers of textures to reflect a familiar look of weathered liveliness and rich vibrancy."
Battambang,,Acrylic on Canvas,2026,,1500,,"This piece reflects a space that exists just beyond crowded streets and a nightly spectacle. People gather nearby, but remains outside the frame. Human presence exists is only suggested as the energy comes from the familiar market symbols, layered textures, and the rhythm of the city itself."
Battambang EP ,,Acrylic on Canvas,2026,,120,,Light and dark can be seen in this piece where paint has been repurposed with the similar goal of blurring dusk into dawn maintaining high energy and vibrancy.
Phnom Penh 2026,,Mixed Media on Canvas,2026,,2800,,"This piece explores the coexistence of tradition and modern life through moments of visual and symbolic tension. The honor of a monk, yet absorbed by a phone; a traditional building against a modern skyscraper. The use of saffron orange, the color of a monk’s robe, symbolizing detachment from material desire, highlights how these values can feel at odds within a modern world."
,,Acrylic on Canvas,2026,,,,
,,,,,,,
,,,,,,,
Rocky mountain,24x33,Acrylic on panel,2023,,190,,
Bangkok,52x38,Acrylic on paper,2023,,420,,
Golden Ganesha,90x60,Acrylic and ink on canvas,2025,,1200,,
,,,,,,,
Odaesan,32x45,Acrylic on panel,2024,,sold,,
Banchan,,Acrylic on canvas,2024,,sold,,