NO,Artist,Title,Series / Notes,Year,QTY,Technique,Size, Price (USD) ,Availability / Set,Description
,Geo-Graphichs Exhibition 05th March to 20th April 2026,,,,,,,,,
1,Rachel Goldberg ,Portrait,Portrait,2023,1,Acrylic on canvas,50 x 50," $ 1,200.00 ",,
,,,,,,,,,,
2,,Nowon-Gu,,2023,1,Acrylic on canvas,45.5x53," $ 1,200.00 ",,The place where this journey begin. The home place of experiences that equally inspired and shocked. The first of many considerations of beauty and change. 
3,,Nami Island,,2023,1,Acrylic on canvas,72.5 x 60.5," $ 1,200.00 ",,"Namisan is romantic, energetic, and youthful. While its cultural and historical roots paint a backdrop to the scene, Nami island has been transformed into a tourist destination celebrated for its art, media and romantic appeal. This piece captures the fluidity, energy, and artistic spirit of the island, reflecting the reality of lived moments and curated beauty."
4,,Dobongsan,,2023,1,Acrylic on canvas,45.5x53," $ 1,800.00 ",,
5,,Jeju i,,2024,1,Acrylic on canvas,53x45.5," $ 8,000.00 ",,Inspired by the vibrant and delicate Joseon Dynasty temples - designed to be integrated into the natural surroundings and now framed by the perfectly constructed skyscrapers of modern times - this piece represents Korea’s ongoing fusion of tradition and contemporary. 
6,,Jeju i EP i,,2024,1,Acrylic on canvas,24x33.5, $ 310.00 ,,"Using the excess paint from Jeju, this piece uses vibrant colors, repeating patterns and organic brush strokes to create a uniquely rustric but modern artwork."
7,,Jeju i EP ii,,2024,1,Acrylic on canvas,45.5x53, $ 190.00 ,,"Using the excess paint from Jeju, this piece uses vibrant colors, repeating patterns and organic brush strokes to create a uniquely rustric but modern artwork."
8,,Jeju ii,,2025,1,Acrylic on canvas,," $ 1,200.00 ",,"Temples once so grounded and balanced within natural landscapes of South Korea now recomposed by rigid, rectangular shapes. This piece explores the point when interaction and fusion shift into obstruction and constraint."
9,,Phnom Aoral,,2025,1,Acrylic on canvas,91 x122," $ 4,400.00 ",,"This piece uses geometric shapes to frame and enhance the natural scene. The shapes are carefully balanced to coexist with the landscape, to create structure and modernization without overpowering the organic qualities of the environment. "
10,,Phnom Aoral EP,,2025,1,Acrylic on panel,41x33, $ 190.00 ,,The renewed paint in this piece is used to explore a similar balance and coexistence of organic and carefully placed strokes. 
11,,Russian Market ,,2025,1,Acrylic on canvas,40x40," $ 1,800.00 ",,"Russian market is a vibrant, traditional marketplace where local daily life and tourism intersect. The opaque circle isolates a moment of calmness above the chaotic energy of the busy streets, while the surrounding geometric forms create order and structure. This piece was designed to invite reflection on whether these spaces should be reorganized to reduce the clutter and chaos, or preserved in their layered complexity and lively beauty."
12,,Russian Market EP ,,2025,1,Acrylic on panel,15.2x20.3, $ 90.00 ,,This excess paint artwork revisits a captured calmness among what is known to be dynamic and energizing.
13,,Daun Penh,,2025,1,Acrylic on canvas,50x60," $ 1,400.00 ",,"Taking place in the old neighborhood of Daun Penh, this piece reflects the charm and character of the worn streets. Rustic textures and weathered surfaces are juxtaposed with delicate, light shapes creating a contrast between polished order and textured imperfection. This is meant to invite a reflection of how old and new, fragile and enduring, can coexist and enrich one another."
14,,Daun Penh EP,,2025,1,Acrylic on panel,33x41," $ 1,200.00 ",,"The excess paint on the palette allowed for a light and textured artwork that explores a layering of imperfect and polished patterns. This piece creates a coexistence between organic, weathered patterns and crisp geometric shapes. "
15,,Independence Monument,,2025,1,Acrylic on canvas,60x50," $ 1,400.00 ",,"This piece reflects Cambodian identity through familiar symbols. While the recognizable elements take center stage, the modern, non-Khmer skyline sits behind, big and bulky, impossible to ignore, setting a contemporary backdrop to the enduring staples of Khmer culture."
16,,Independence Monument EP,,2025,1,Acrylic on panel,30 diameter, $ 190.00 ,,The excess paint in this piece was left mostly as is to enhance its connection to the otherwise unique piece.
17,,Koh Rong,,2025,1,Acrylic on canvas,50x60," $ 1,400.00 ",,"Koh Rong is a quiet, calming place. It has the rustic charm of a beach town, removed from the busyness of modern city life. Yet parts of the beach town have evolved in other ways. This piece evokes the spirit of the community that flows through Koh Rong, while the shapes suggest spontaneity, memories, and the liberating energy of travelers and their celebrations. This painting explores the balance between the calm of the coastal beach and the liberating energy of travelers, carefully navigating the edge before it tips into the overwhelm of holiday exuberance."
18,,Koh Rong EP i,,2025,1,Acrylic on canvas,30.5x40.6, $ 210.00 ,,"The left over paint from Koh Rong went into this continuation of flow, free spirit and spontaneity."
19,,Koh Rong EP ii,,2025,1,Acrylic on panel,30 diameter, $ 190.00 ,,"The left over paint from Koh Rong went into this continuation of flow, free spirit and spontaneity."
20,,Battambang,,2026,1,Mixed Media on canvas,," $ 1,500.00 ",,"The excess paint from the palette found a new purpose in this piece, maintaining the layers of textures to reflect a familiar look of weathered liveliness and rich vibrancy."
21,,Battambang EP ,,2026,1,Acrylic on canvas,, $ 120.00 ,,Light and dark can be seen in this piece where paint has been repurposed with the similar goal of blurring dusk into dawn maintaining high energy and vibrancy.
22,,Russian Market ii,,2026,1,Acrylic on canvas,," $ 1,500.00 ",,"This rendition of the Russian Market scene captures the energy and rhythm that takes place below the vibrant roof tops. This piece emphasizes movement, liveliness and the flow of daily life in Cambodia. The translucent frame and the textured, stylized imagery allows the scene to pulse with activity and vibrancy,"
23,,Russian Market EP ii,,2026,1,Acrylic on canvas,, $ 190.00 ,,"The excess paint from the palette found a new purpose in this piece, maintaining the layers of textures to reflect a familiar look of weathered liveliness and rich vibrancy."
24,,Phnom Penh,,2026,1,Mixed Media on Canvas,," $ 2,800.00 ",,"This piece explores the coexistence of tradition and modern life through moments of visual and symbolic tension. The honor of a monk, yet absorbed by a phone; a traditional building against a modern skyscraper. The use of saffron orange, the color of a monk’s robe, symbolizing detachment from material desire, highlights how these values can feel at odds within a modern world."
,,,,,,,,,,
,,,,,,,,,,
,Sold Artwork:,Mar-18-26,$190.00,Square Canvas,,,,,,